C1_B2	C2_B1	OASH1_B2	OA4_B2	SH1_B1	OA3_B2	C4_B2	OA2_B2	OASH1_B1	C3_B1	OA4_B1	SH4_B2	OASH2_B2	C2_B2	OA2_B1	OASH4_B1	OA3_B1	SH2_B2	OASH2_B1	C1_B1	SH2_B1	OASH4_B2	SH4_B1	SH3_B2
OA4_B1	-0.553074601208062	-0.0138462615614276	-0.411745931511116	0.659311351795238	-0.657164537311464	0.596424412462744	0.137505572411564	0.763968107704343	0.109558588611587	-0.445605210586061	1	-0.514217061563836	0.0155005895918858	-0.089712360824928	0.825401361563152	0.393279833428146	0.806111356893579	-0.668919800494303	-0.466964136725259	-0.505925908294185	-0.517076676343001	-0.494926722077194	-0.238077899429586	-0.402138655259297
SH4_B2	0.217999432583916	-0.0925301524796653	0.259583730360906	-0.445907646514049	0.274153586077246	-0.376021695264446	-0.270722004544546	-0.426518748742695	-0.148888275709673	0.0558162579879637	-0.514217061563836	1	-0.045242218792018	-0.0123280476230451	-0.474503580630428	-0.379283047513074	-0.438080524792582	0.574835677958153	0.246139411617446	0.294832229399768	0.284554481934153	0.411854875496142	0.0996264826506173	0.329838407740371
OASH2_B2	-0.208896235766468	-0.423217985847609	0.191399056560068	0.0084230642266621	0.102661467624217	0.0383896212791684	-0.393311145788841	-0.151456230906765	-0.00297842227515362	-0.163160488750677	0.0155005895918858	-0.045242218792018	1	-0.114587802681292	-0.00963055932424295	0.046595401251043	-0.0556876091760175	-0.0730050353612278	0.219217698232727	0.0727955697611188	0.100079379253084	-0.0277469565865968	-0.0458626645678782	-0.0306981838039979
C2_B2	0.0536244624144381	0.0456683430296329	-0.109966177096029	-0.00918068506110362	-0.0674117885956484	-0.00509320826972668	-0.0381150867412204	-0.150975152567042	-0.0509394347304989	0.0306304859330678	-0.089712360824928	-0.0123280476230451	-0.114587802681292	1	-0.095536730021782	0.215369084817748	-0.14613052136531	-0.0805599755183552	-0.0648791241595296	-0.0461516920802932	-0.159372523119805	0.0196320871927601	-0.152276437197429	0.248621582188448
OA2_B1	-0.552818431223532	-0.0687932945333175	-0.42674241302882	0.678609354357305	-0.638981917662694	0.622368437484557	0.0952355693383137	0.79241248211076	0.0177919284333223	-0.429066011470546	0.825401361563152	-0.474503580630428	-0.00963055932424295	-0.095536730021782	1	0.323130561201132	0.746544790538459	-0.635705648892763	-0.479543222651092	-0.484871914587509	-0.475699128825587	-0.483482295945756	-0.15551260997884	-0.339631373039126
OASH4_B1	-0.39397256187227	-0.117712353382137	-0.246057341470709	0.408693236637577	-0.35922788046195	0.305588237496109	-0.0419550492510494	0.351711594963217	0.023486460779507	-0.227807238910215	0.393279833428146	-0.379283047513074	0.046595401251043	0.215369084817748	0.323130561201132	1	0.336335286998658	-0.512776220928197	-0.167747006743148	-0.30712499405146	-0.340016840264211	-0.201644392174343	-0.256664910149468	-0.138918179891591
OA3_B1	-0.539111842575898	0.000864579307457161	-0.390659711809997	0.739892563933668	-0.623501596712256	0.682684176153771	0.0933008819828247	0.698455357535392	0.0628907734443014	-0.438539282806844	0.806111356893579	-0.438080524792582	-0.0556876091760175	-0.14613052136531	0.746544790538459	0.336335286998658	1	-0.629568891629827	-0.430107272582758	-0.510558198174158	-0.490244655142657	-0.513865164149613	-0.182214161033949	-0.39072127517166
SH2_B2	0.470992487131512	-0.0664008362431879	0.348565260126537	-0.595926652195003	0.540387720983994	-0.579935610333606	-0.000274117412255568	-0.608660588732421	-0.147835588960052	0.306904528580243	-0.668919800494303	0.574835677958153	-0.0730050353612278	-0.0805599755183552	-0.635705648892763	-0.512776220928197	-0.629568891629827	1	0.164635019083855	0.264555883709559	0.396340392945945	0.516985102331196	0.159772527182327	0.292966398740826
OASH2_B1	-0.00736950681626329	-0.147795215912465	0.552264645136639	-0.395195221820963	0.347120076756611	-0.382020195007772	-0.304066611898842	-0.404135997031039	-0.25201882689751	0.00912946045434003	-0.466964136725259	0.246139411617446	0.219217698232727	-0.0648791241595296	-0.479543222651092	-0.167747006743148	-0.430107272582758	0.164635019083855	1	0.335662002344797	0.584984639623418	0.169340368927277	0.132600939703028	0.13110721288068
C1_B1	0.331433060083032	0.0798802765843603	0.214897012223629	-0.48671346255195	0.338544788418761	-0.44485360750216	-0.0069194588404876	-0.464475755633672	-0.0321738866131866	0.140957682676547	-0.505925908294185	0.294832229399768	0.0727955697611188	-0.0461516920802932	-0.484871914587509	-0.30712499405146	-0.510558198174158	0.264555883709559	0.335662002344797	1	0.160286391759656	0.413954223685379	-0.118097383704737	0.125554757881175
SH2_B1	0.120174439245413	-0.203832645499514	0.435342293814241	-0.483608967631347	0.52940194159208	-0.414268496739943	-0.244301381251357	-0.449919965745084	-0.321517584934331	0.181249476908578	-0.517076676343001	0.284554481934153	0.100079379253084	-0.159372523119805	-0.475699128825587	-0.340016840264211	-0.490244655142657	0.396340392945945	0.584984639623418	0.160286391759656	1	0.0721652692810436	0.415369112920145	0.174454314015136
