sample,pH_measured,pH_corrected_TRIS,over_pH,sed_type,bucket_ID
D32_OASH2_pore,7.5737,7.5395,low,shells,OASH2
D39_C2_pore,7.7936,7.7594,high,sand,C2
D39_C2_pore,7.3531,7.3189,high,sand,C2
D32_OA2_pore,7.3571,7.3229,low,sand,OA2
D32_OA2_pore,7.15,7.1158,low,sand,OA2
D32_OASH1_pore,7.1613,7.1271,low,shells,OASH1
D32_OASH1_pore,7.4967,7.4625,low,shells,OASH1
D39_SH1_pore,7.762,7.7278,high,shells,SH1
D39_SH1_pore,7.6421,7.6079,high,shells,SH1
D39_OASH1_pore,7.7722,7.738,low,shells,OASH1
D39_OASH1_pore,7.4613,7.4271,low,shells,OASH1
D46_OASH2_pore,7.7916,7.7574,low,shells,OASH2
D46_OASH2_pore,7.5401,7.5059,low,shells,OASH2
D60_OASH2_pore,7.5436,7.5094,low,shells,OASH2
D60_OASH2_pore,7.563,7.5288,low,shells,OASH2
D60_C2_pore,7.3886,7.3544,high,sand,C2
D60_C2_pore,7.2074,7.1732,high,sand,C2
D60_OASH1_pore,7.2118,7.1776,low,shells,OASH1
D60_OASH1_pore,7.5241,7.4899,low,shells,OASH1
D60_OA1_pore,7.5463,7.5121,low,sand,OA1
D60_OA1_pore,7.2093,7.1751,low,sand,OA1
D60_SH1_pore,7.203,7.1688,high,shells,SH1
D60_SH1_pore,7.7064,7.6722,high,shells,SH1
D60_SH2_pore,7.8546,7.8204,high,shells,SH2
D60_SH2_pore,7.6906,7.6564,high,shells,SH2
D60_C1_pore,7.4161,7.3819,high,sand,C1
D60_C1_pore,7.4263,7.3921,high,sand,C1
D53_OA2_pore,7.4261,7.3919,low,sand,OA2
D53_OA2_pore,7.0813,7.0471,low,sand,OA2
D25_OASH1_pore,7.3946,7.3604,low,shells,OASH1
D25_OASH1_pore,7.4911,7.4569,low,shells,OASH1
