Short name,Final corrected TA
D4_SH1,2251.584883
D4_SH1,2249.242156
D4_SH1,2245.310449
D4_SH1_pore,2332.785843
D4_SH1_pore,2282.233866
D4_SH1_pore,2335.311914
D4_SH2,2249.03844
D4_SH2,2247.072587
D4_SH2,2247.57169
D4_SH2_pore,2271.722151
D4_SH2_pore,2269.094222
D4_SH2_pore,2270.683202
D4_sump,2248.518966
D4_sump,2248.865282
D4_sump,2248.009678
D4_sumpOA,2296.229114
D4_sumpOA,2294.100288
D4_sumpOA,2296.942118
D46_C1,1999.371607
D46_C1,2002.053086
D46_C1,1999.371607
D46_C1_pore,2027.987544
D46_C1_pore,1997.985333
D46_C1_pore,1894.065365
D46_C2,1781.453357
D46_C2,1993.006888
D46_C2,1987.967731
D46_C2_pore,2155.200964
D46_C2_pore,2161.282357
D46_C2_pore,2151.284993
D46_OA1,2016.047372
D46_OA1,2099.223821
D46_OA1,2095.459632
D46_OA1_pore,2185.486501
D46_OA1_pore,2060.064106
D46_OA1_pore,2205.987169
D46_OA2,2111.447319
D46_OA2,2015.834877
D46_OA2,2024.749531
D46_OA2_pore,2312.46719
D46_OA2_pore,2361.027261
D46_OA2_pore,2356.01846
D46_OASH1,2097.038163
D46_OASH1,2024.273948
D46_OASH1,2086.372959
D46_OASH1_pore,2604.85973
D46_OASH1_pore,2632.241174
D46_OASH1_pore,2591.533284
D46_OASH2,2119.987577
D46_OASH2,2101.277935
D46_OASH2,2119.117361
D46_OASH2_pore,2476.96835
D46_OASH2_pore,2693.652107
D46_OASH2_pore,2681.236353
D46_SH1,1992.804513
D46_SH1,1989.171867
D46_SH1,1990.598617
D46_SH1_pore,2023.768008
D46_SH1_pore,2025.994142
D46_SH1_pore,2141.570955
D46_SH2,2012.870072
D46_SH2,1925.716939
D46_SH2,2001.76976
D46_SH2_pore,2106.134954
D46_SH2_pore,2022.300784
D46_SH2_pore,2082.93257
D53_C1,1912.761662
D53_C1,1915.447843
D53_C1,1912.462967
D53_C1_pore,1782.57179
