Sample,pH measured,pH corrected TRIS
D88_SH1_pore,7.6425,7.6083
D88_SH1_pore,7.637,7.6028
D88_SH2_pore,7.6527,7.6185
D88_SH2_pore,7.653,7.6188
D88_SH2,7.6834,7.6492
D88_SH2,7.6861,7.6519
D88_OA1_pore,7.1289,7.0947
D88_OA1_pore,7.1233,7.0891
D88_OA1,7.4322,7.398
D88_OA1,7.4326,7.3984
D88_OASH2_pore,7.4995,7.4653
D88_OASH2_pore,7.513,7.4788
D88_OA2,7.4125,7.3783
D88_OA2,7.4134,7.3792
D88_OA2_pore,7.0971,7.0629
D88_OA2_pore,7.0872,7.053
D88_SH1,7.6621,7.6279
D88_SH1,7.665,7.6308
D88_OASH2,7.4341,7.3999
D88_OASH2,7.4396,7.4054
D88_OASH1,7.4298,7.3956
D88_OASH1,7.42,7.3858
D88_C1_pore,7.267,7.2328
D88_C1_pore,7.2664,7.2322
D88_C2_pore,7.2216,7.1874
D88_C2_pore,7.2354,7.2012
D88_C2,7.6728,7.6386
D88_C2,7.6855,7.6513
D88_OASH1_pore,7.5135,7.4793
D88_OASH1_pore,7.5123,7.4781
D46_C2,7.7819,7.7477
D46_C2,7.782,7.7478
D46_OA1_pore,7.1746,7.1404
D46_OA1_pore,7.1307,7.0965
D39_SH2_pore,7.6646,7.6304
D39_SH2_pore,7.6782,7.644
D46_SH2,7.7858,7.7516
D46_SH2,7.7717,7.7375
D32_OASH2_pore,7.5737,7.5395
D32_OASH2_pore,7.5713,7.5371
D1_C1,7.8861,7.8519
D1_C1,7.8853,7.8511
D11_C1,7.8751,7.8409
D11_C1,7.8761,7.8419
D11_OA1,7.4712,7.437
D11_OA1,7.4859,7.4517
D32_OASH1,7.4515,7.4173
D32_OASH1,7.4528,7.4186
D32_OA1,7.4125,7.3783
D32_OA1,7.4167,7.3825
D32_C2,7.7873,7.7531
D32_C2,7.7936,7.7594
D39_C2_pore,7.3531,7.3189
D39_C2_pore,7.3571,7.3229
D32_OA2_pore,7.15,7.1158
D32_OA2_pore,7.1613,7.1271
D32_OASH1_pore,7.4967,7.4625
D32_OASH1_pore,7.506,7.4718
D39_C2,7.7667,7.7325
D39_C2,7.762,7.7278
D39_SH1_pore,7.6421,7.6079
D39_SH1_pore,7.6407,7.6065
D39_SH1,7.7681,7.7339
D39_SH1,7.7722,7.738
D39_OASH1_pore,7.4613,7.4271
D39_OASH1_pore,7.4547,7.4205
D39_C1,7.7667,7.7325
D39_C1,7.7694,7.7352
D11_OA2,7.4973,7.4631
D11_OA2,7.4894,7.4552
D46_C1,7.8005,7.7663
D46_C1,7.803,7.7688
D46_SH1,7.7952,7.761
D46_SH1,7.7916,7.7574
D46_OASH2_pore,7.5401,7.5059
D46_OASH2_pore,7.5436,7.5094
D60_OASH2_pore,7.563,7.5288
D60_OASH2_pore,7.5324,7.4982
D32_OA2,7.4125,7.3783
D32_OA2,7.3886,7.3544
D60_C2_pore,7.2074,7.1732
D60_C2_pore,7.2118,7.1776
