Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D18_C2,D18_C2_over,D18_C2_pore,2133.259627,1803.50682,sand,C2,high
D18_C2,D18_C2_over.1,D18_C2_pore.1,2132.983432,1797.553687,sand,C2,high
D18_C2,D18_C2_over.2,D18_C2_pore.2,1974.467882,1806.243172,sand,C2,high
D18_OA1,D18_OA1_over,D18_OA1_pore,2374.877516,1994.875634,sand,OA1,low
D18_OA1,D18_OA1_over.1,D18_OA1_pore.1,2373.932629,1966.049045,sand,OA1,low
D18_OA1,D18_OA1_over.2,D18_OA1_pore.2,2369.340274,2017.186063,sand,OA1,low
D18_OA2,D18_OA2_over,D18_OA2_pore,2354.567521,2163.775798,sand,OA2,low
D18_OA2,D18_OA2_over.1,D18_OA2_pore.1,2357.148181,2052.95353,sand,OA2,low
D18_OA2,D18_OA2_over.2,D18_OA2_pore.2,2357.422503,2167.598336,sand,OA2,low
D18_OASH1,D18_OASH1_over,D18_OASH1_pore,2765.991996,1964.524857,shells,OASH1,low
D18_OASH1,D18_OASH1_over.1,D18_OASH1_pore.1,2758.626792,1968.56549,shells,OASH1,low
D18_OASH1,D18_OASH1_over.2,D18_OASH1_pore.2,2764.324596,1816.93436,shells,OASH1,low
D18_OASH2,D18_OASH2_over,D18_OASH2_pore,2461.072565,2136.91154,shells,OASH2,low
D18_OASH2,D18_OASH2_over.1,D18_OASH2_pore.1,2426.548173,2137.566225,shells,OASH2,low
D18_OASH2,D18_OASH2_over.2,D18_OASH2_pore.2,2458.719792,2134.732668,shells,OASH2,low
D18_SH1,D18_SH1_over,D18_SH1_pore,1264.431564,1828.616391,shells,SH1,high
D18_SH1,D18_SH1_over.1,D18_SH1_pore.1,1257.260719,1824.00291,shells,SH1,high
D18_SH1,D18_SH1_over.2,D18_SH1_pore.2,1253.670183,1825.557786,shells,SH1,high
D18_SH2,D18_SH2_over,D18_SH2_pore,2139.765557,1863.612573,shells,SH2,high
D18_SH2,D18_SH2_over.1,D18_SH2_pore.1,2138.671006,1861.210432,shells,SH2,high
D18_SH2,D18_SH2_over.2,D18_SH2_pore.2,2140.031522,1742.889306,shells,SH2,high
